,image,X1,Y1,X3,Y2,X5,Y3,X7,Y4,X9,Y5,X11,Y6,X13,Y7,X15,Y8,X17,Y9,X19,Y10,X21,Y11,X23,Y12,X25,Y13,X27,Y14,X29,Y15,X31,Y16,act_id
13,013949386.jpg,0.0,0.0,0.0,0.0,110.0,385.0,208.0,355.0,0.0,0.0,0.0,0.0,159.0,370.0,189.0,228.0,191.1195,227.0916,326.8805,168.9084,367.0,363.0,254.0,429.0,166.0,303.0,212.0,153.0,319.0,123.0,376.0,39.0,3.0
14,029214465.jpg,0.0,0.0,0.0,0.0,208.0,331.0,159.0,313.0,0.0,0.0,0.0,0.0,184.0,322.0,198.0,105.0,216.6135,87.6702,295.3865,14.3298,322.0,385.0,254.0,278.0,222.0,118.0,174.0,92.0,181.0,226.0,197.0,364.0,3.0
15,036636184.jpg,525.0,478.0,529.0,369.0,517.0,220.0,570.0,204.0,574.0,371.0,581.0,480.0,544.0,212.0,488.0,76.0,479.0873,71.5436,392.9127,28.4564,416.0,251.0,469.0,201.0,459.0,104.0,516.0,48.0,588.0,132.0,587.0,242.0,3.0
16,051423444.jpg,0.0,0.0,1033.0,649.0,1072.0,474.0,973.0,496.0,961.0,650.0,0.0,0.0,1023.0,485.0,1031.0,295.0,1026.998,281.6248,997.002,181.3752,988.0,294.0,1018.0,317.0,1070.0,290.0,991.0,300.0,912.0,345.0,842.0,330.0,3.0
17,059241457.jpg,0.0,0.0,548.0,675.0,563.0,514.0,626.0,510.0,602.0,664.0,0.0,0.0,595.0,512.0,611.0,308.0,615.2092,299.334,657.7908,211.666,522.0,488.0,522.0,404.0,571.0,304.0,651.0,312.0,687.0,324.0,716.0,299.0,3.0
18,004645041.jpg,0.0,0.0,804.0,659.0,786.0,498.0,868.0,509.0,860.0,693.0,0.0,0.0,827.0,504.0,840.0,314.0,838.9079,308.9326,816.0921,203.0674,698.0,264.0,740.0,297.0,790.0,300.0,889.0,328.0,915.0,452.0,906.0,553.0,3.0
19,060754485.jpg,694.0,684.0,685.0,579.0,670.0,437.0,747.0,421.0,751.0,574.0,768.0,717.0,709.0,429.0,649.0,230.0,642.6337,217.5659,591.3663,117.4341,488.0,351.0,551.0,307.0,600.0,242.0,698.0,217.0,767.0,310.0,790.0,405.0,3.0
20,017052412.jpg,679.0,637.0,663.0,528.0,639.0,374.0,748.0,369.0,727.0,532.0,727.0,666.0,694.0,372.0,595.0,219.0,592.5583,210.0951,563.4417,103.9049,495.0,354.0,526.0,310.0,553.0,217.0,636.0,220.0,616.0,329.0,529.0,353.0,3.0
21,006505159.jpg,0.0,0.0,0.0,0.0,531.0,597.0,629.0,588.0,0.0,0.0,0.0,0.0,580.0,593.0,571.0,388.0,572.0,384.0,612.0,279.0,496.0,638.0,490.0,531.0,516.0,403.0,626.0,372.0,653.0,403.0,697.0,364.0,3.0
22,094888554.jpg,836.0,666.0,841.0,595.0,830.0,500.0,900.0,515.0,895.0,593.0,912.0,691.0,865.0,508.0,876.0,397.0,875.7539,390.6023,873.2461,325.3977,775.0,457.0,817.0,441.0,844.0,390.0,907.0,404.0,898.0,460.0,862.0,504.0,3.0
23,096563203.jpg,0.0,0.0,0.0,0.0,118.0,644.0,227.0,655.0,0.0,0.0,0.0,0.0,173.0,650.0,315.0,315.0,364.6897,271.9356,535.3103,124.0644,430.0,592.0,180.0,540.0,228.0,275.0,401.0,355.0,336.0,506.0,342.0,603.0,3.0
24,080839735.jpg,804.0,683.0,750.0,500.0,794.0,384.0,912.0,346.0,870.0,545.0,903.0,716.0,853.0,365.0,650.0,279.0,654.6722,284.2491,564.3278,182.7509,769.0,410.0,724.0,340.0,602.0,288.0,698.0,270.0,810.0,381.0,836.0,511.0,3.0
25,030461377.jpg,409.0,642.0,425.0,535.0,410.0,402.0,498.0,398.0,519.0,505.0,517.0,619.0,454.0,400.0,508.0,242.0,514.0306,232.5234,564.9694,152.4766,346.0,378.0,370.0,296.0,452.0,228.0,563.0,255.0,632.0,318.0,728.0,304.0,3.0
26,009767211.jpg,0.0,0.0,0.0,0.0,211.0,364.0,287.0,346.0,0.0,0.0,0.0,0.0,249.0,355.0,224.0,171.0,232.9115,147.0199,270.0885,46.9801,270.0,295.0,171.0,316.0,178.0,177.0,270.0,164.0,296.0,247.0,297.0,287.0,3.0
27,068423303.jpg,0.0,0.0,474.0,452.0,560.0,290.0,493.0,322.0,402.0,460.0,0.0,0.0,527.0,306.0,416.0,201.0,401.5918,197.7582,310.4082,177.2418,467.0,304.0,466.0,271.0,446.0,160.0,385.0,242.0,409.0,357.0,393.0,426.0,3.0
28,044015249.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,305.0,180.5447,264.2038,233.4553,115.7962,0.0,0.0,0.0,0.0,116.0,321.0,215.0,288.0,295.0,300.0,386.0,302.0,3.0
29,012203823.jpg,466.0,365.0,493.0,284.0,518.0,179.0,591.0,163.0,520.0,356.0,509.0,476.0,555.0,171.0,427.0,140.0,416.801,136.9332,294.199,100.0668,300.0,293.0,351.0,229.0,378.0,140.0,475.0,139.0,578.0,225.0,520.0,310.0,3.0
30,049517691.jpg,0.0,0.0,189.0,473.0,91.0,299.0,39.0,276.0,118.0,467.0,0.0,0.0,65.0,288.0,122.0,85.0,132.94,76.4196,213.06,13.5804,238.0,291.0,199.0,234.0,158.0,103.0,86.0,67.0,141.0,174.0,183.0,248.0,3.0
31,031171108.jpg,0.0,0.0,0.0,0.0,135.0,404.0,253.0,411.0,0.0,0.0,0.0,0.0,194.0,408.0,238.0,210.0,232.8147,177.994,214.1853,63.006,136.0,407.0,119.0,331.0,150.0,211.0,326.0,208.0,315.0,364.0,187.0,394.0,877.0
32,052006802.jpg,306.0,358.0,331.0,320.0,324.0,260.0,341.0,268.0,351.0,320.0,326.0,355.0,333.0,264.0,363.0,206.0,362.5363,205.0436,347.4637,173.9564,352.0,155.0,347.0,180.0,365.0,206.0,361.0,206.0,389.0,176.0,385.0,162.0,4.0
33,054671028.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,417.0,243.0,417.9901,234.5243,441.0099,37.4757,433.0,291.0,233.0,302.0,308.0,234.0,525.0,252.0,733.0,282.0,541.0,301.0,4.0
34,018485446.jpg,1087.0,973.0,657.0,915.0,963.0,802.0,1241.0,812.0,1403.0,909.0,1041.0,910.0,1102.0,807.0,1089.0,384.0,1089.5645,301.2061,1091.4355,26.7939,984.0,841.0,906.0,700.0,908.0,397.0,1270.0,371.0,1271.0,742.0,1316.0,555.0,868.0
35,096958463.jpg,0.0,0.0,379.0,472.0,381.0,327.0,479.0,326.0,447.0,470.0,0.0,0.0,430.0,327.0,439.0,142.0,439.7055,134.1812,450.2945,16.8188,346.0,323.0,343.0,242.0,378.0,143.0,500.0,141.0,579.0,221.0,514.0,288.0,341.0
36,077513282.jpg,369.0,474.0,406.0,397.0,406.0,254.0,471.0,252.0,461.0,386.0,448.0,470.0,439.0,253.0,441.0,99.0,446.2789,89.1831,492.7211,2.8169,489.0,139.0,432.0,193.0,404.0,97.0,477.0,100.0,496.0,186.0,533.0,246.0,341.0
37,093949894.jpg,0.0,0.0,0.0,0.0,282.0,331.0,412.0,360.0,0.0,0.0,0.0,0.0,347.0,346.0,369.0,91.0,371.0,104.0,0.0,0.0,221.0,126.0,269.0,214.0,293.0,84.0,445.0,98.0,441.0,307.0,266.0,266.0,341.0
38,089482735.jpg,0.0,0.0,0.0,0.0,254.0,318.0,357.0,381.0,0.0,0.0,0.0,0.0,306.0,350.0,309.0,95.0,310.7676,110.3785,297.2324,-7.3785,206.0,226.0,192.0,189.0,231.0,107.0,386.0,83.0,336.0,161.0,188.0,132.0,341.0
39,059789998.jpg,305.0,403.0,313.0,294.0,301.0,202.0,404.0,222.0,386.0,320.0,400.0,412.0,353.0,212.0,356.0,144.0,350.0271,116.6241,373.9729,226.3759,265.0,166.0,273.0,107.0,294.0,136.0,418.0,152.0,420.0,282.0,396.0,371.0,341.0
40,092187424.jpg,447.0,396.0,454.0,275.0,505.0,154.0,615.0,66.0,543.0,347.0,552.0,455.0,560.0,110.0,338.0,155.0,334.4195,154.4292,203.5805,133.5708,295.0,243.0,334.0,200.0,317.0,141.0,358.0,169.0,518.0,183.0,518.0,282.0,341.0
41,008849250.jpg,240.0,417.0,353.0,356.0,189.0,339.0,249.0,289.0,341.0,268.0,233.0,393.0,219.0,314.0,272.0,187.0,284.4743,176.2583,367.5257,104.7417,407.0,345.0,331.0,332.0,270.0,210.0,274.0,163.0,324.0,232.0,380.0,261.0,148.0
42,004522729.jpg,175.0,412.0,204.0,247.0,104.0,413.0,18.0,348.0,126.0,240.0,124.0,382.0,61.0,381.0,74.0,261.0,62.9805,278.3163,148.0195,144.6837,370.0,284.0,261.0,346.0,119.0,327.0,28.0,194.0,159.0,145.0,268.0,121.0,148.0
43,082873751.jpg,720.0,638.0,707.0,524.0,684.0,365.0,784.0,366.0,792.0,520.0,797.0,649.0,734.0,366.0,739.0,175.0,737.8234,153.0862,732.1766,47.9138,694.0,378.0,659.0,288.0,683.0,176.0,795.0,174.0,803.0,294.0,771.0,377.0,11.0
44,035675333.jpg,0.0,0.0,0.0,0.0,788.0,577.0,944.0,621.0,0.0,0.0,0.0,0.0,866.0,599.0,872.0,293.0,865.7188,278.0061,785.2812,85.9939,702.0,533.0,754.0,444.0,768.0,282.0,975.0,303.0,989.0,552.0,980.0,710.0,11.0
45,028093451.jpg,0.0,0.0,544.0,624.0,509.0,409.0,624.0,413.0,621.0,628.0,0.0,0.0,567.0,411.0,584.0,185.0,581.6629,154.7729,571.3371,21.2271,399.0,313.0,490.0,323.0,506.0,190.0,661.0,179.0,647.0,322.0,512.0,294.0,11.0
46,098688694.jpg,0.0,0.0,233.0,449.0,217.0,316.0,277.0,311.0,279.0,455.0,0.0,0.0,247.0,314.0,232.0,198.0,231.0347,196.0005,190.9653,112.9995,217.0,138.0,172.0,189.0,198.0,206.0,265.0,190.0,308.0,261.0,287.0,194.0,11.0
47,077224477.jpg,248.0,405.0,237.0,322.0,246.0,239.0,322.0,232.0,307.0,340.0,310.0,408.0,284.0,236.0,291.0,103.0,288.3711,85.182,275.6289,-1.182,233.0,254.0,235.0,187.0,242.0,109.0,340.0,97.0,359.0,165.0,338.0,223.0,11.0
48,019871568.jpg,0.0,0.0,0.0,0.0,379.0,327.0,506.0,371.0,0.0,0.0,0.0,0.0,443.0,349.0,446.0,135.0,450.0434,152.8844,415.9566,2.1156,201.0,280.0,266.0,209.0,367.0,128.0,524.0,141.0,483.0,321.0,339.0,320.0,11.0
49,000552212.jpg,0.0,0.0,496.0,459.0,509.0,378.0,573.0,387.0,551.0,469.0,0.0,0.0,541.0,383.0,557.0,252.0,550.0,230.0,522.0,138.0,476.0,344.0,511.0,318.0,522.0,246.0,592.0,257.0,602.0,350.0,549.0,381.0,11.0
50,035846573.jpg,0.0,0.0,530.0,582.0,261.0,598.0,349.0,499.0,518.0,530.0,458.0,603.0,305.0,549.0,316.0,314.0,323.844,279.5133,366.156,93.4867,432.0,533.0,331.0,511.0,267.0,334.0,364.0,293.0,398.0,436.0,509.0,498.0,622.0
51,011586906.jpg,0.0,0.0,630.0,632.0,803.0,510.0,938.0,536.0,712.0,625.0,0.0,0.0,871.0,523.0,865.0,293.0,863.0,277.0,841.0,99.0,731.0,540.0,749.0,430.0,784.0,281.0,946.0,305.0,989.0,501.0,988.0,649.0,622.0
52,086310343.jpg,789.0,647.0,620.0,567.0,750.0,483.0,918.0,490.0,776.0,541.0,879.0,675.0,834.0,487.0,803.0,278.0,795.3759,235.8135,765.6241,71.1865,514.0,541.0,618.0,417.0,708.0,282.0,897.0,274.0,984.0,464.0,982.0,594.0,326.0
53,062329813.jpg,349.0,653.0,390.0,519.0,375.0,379.0,452.0,373.0,428.0,511.0,407.0,647.0,414.0,376.0,399.0,227.0,402.3915,212.1212,426.6085,105.8788,381.0,412.0,354.0,333.0,352.0,230.0,446.0,224.0,461.0,312.0,475.0,393.0,11.0
54,006355835.jpg,0.0,0.0,0.0,0.0,254.0,459.0,369.0,460.0,0.0,0.0,0.0,0.0,312.0,460.0,327.0,241.0,324.6475,220.3504,311.3525,103.6496,192.0,331.0,222.0,373.0,249.0,244.0,404.0,237.0,453.0,371.0,412.0,351.0,982.0
55,031098232.jpg,0.0,0.0,293.0,412.0,278.0,294.0,354.0,306.0,357.0,415.0,0.0,0.0,316.0,300.0,316.0,162.0,315.5619,160.2475,297.4381,87.7525,246.0,229.0,247.0,255.0,269.0,165.0,362.0,159.0,394.0,241.0,361.0,231.0,982.0
56,032518332.jpg,0.0,0.0,0.0,0.0,162.0,438.0,183.0,423.0,0.0,0.0,0.0,0.0,173.0,431.0,154.0,228.0,160.6644,210.4896,198.3356,111.5104,266.0,276.0,206.0,342.0,128.0,229.0,180.0,227.0,211.0,308.0,260.0,271.0,982.0
57,072960618.jpg,340.0,475.0,341.0,385.0,329.0,283.0,409.0,296.0,394.0,382.0,401.0,475.0,369.0,290.0,374.0,148.0,372.566,132.3856,366.434,65.6144,319.0,215.0,292.0,223.0,325.0,151.0,422.0,144.0,446.0,228.0,458.0,299.0,53.0
58,063755747.jpg,0.0,0.0,0.0,0.0,344.0,382.0,447.0,392.0,0.0,0.0,0.0,0.0,396.0,387.0,403.0,197.0,401.1966,180.3537,391.8034,93.6463,293.0,379.0,320.0,299.0,345.0,202.0,461.0,191.0,506.0,299.0,443.0,290.0,982.0
59,088721274.jpg,642.0,383.0,656.0,312.0,667.0,225.0,731.0,224.0,731.0,314.0,723.0,384.0,699.0,225.0,699.0,138.0,699.2891,140.65,692.7109,80.35,645.0,223.0,636.0,179.0,662.0,139.0,736.0,136.0,761.0,174.0,750.0,213.0,12.0
60,047221493.jpg,446.0,369.0,433.0,296.0,434.0,209.0,485.0,205.0,508.0,282.0,531.0,366.0,460.0,207.0,455.0,86.0,455.839,73.4144,460.161,8.5856,414.0,168.0,372.0,135.0,413.0,86.0,497.0,86.0,528.0,129.0,507.0,174.0,12.0
61,011959425.jpg,0.0,0.0,0.0,0.0,433.0,390.0,552.0,372.0,0.0,0.0,0.0,0.0,493.0,381.0,480.0,195.0,480.9821,186.1607,493.0179,77.8393,432.0,348.0,387.0,299.0,410.0,199.0,550.0,190.0,576.0,290.0,511.0,310.0,12.0
62,071324479.jpg,169.0,358.0,172.0,282.0,170.0,190.0,224.0,192.0,227.0,277.0,228.0,352.0,197.0,191.0,203.0,98.0,203.5108,93.7217,210.4892,35.2783,220.0,140.0,162.0,145.0,162.0,97.0,243.0,99.0,240.0,142.0,194.0,130.0,12.0
63,076078505.jpg,0.0,0.0,602.0,859.0,595.0,563.0,736.0,550.0,702.0,856.0,0.0,0.0,666.0,557.0,647.0,335.0,649.7363,355.5219,626.2637,179.4781,573.0,752.0,542.0,591.0,525.0,346.0,769.0,324.0,818.0,522.0,740.0,693.0,12.0
64,077096718.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1232.0,288.0,1236.1271,311.7755,1181.8729,-0.77553,692.0,464.0,902.0,417.0,1059.0,247.0,1405.0,329.0,1498.0,613.0,1303.0,562.0,13.0
65,042754102.jpg,674.0,492.0,671.0,427.0,673.0,370.0,628.0,362.0,617.0,422.0,603.0,480.0,651.0,366.0,663.0,277.0,663.2685,266.6642,664.7315,210.3358,697.0,367.0,696.0,329.0,693.0,281.0,633.0,273.0,619.0,322.0,606.0,357.0,960.0
66,010789143.jpg,382.0,521.0,365.0,400.0,318.0,304.0,251.0,308.0,311.0,383.0,322.0,467.0,285.0,306.0,303.0,163.0,303.3578,161.5348,323.6422,78.4652,432.0,280.0,382.0,238.0,339.0,164.0,267.0,162.0,262.0,239.0,303.0,274.0,960.0
67,031435598.jpg,873.0,526.0,873.0,485.0,874.0,427.0,844.0,426.0,845.0,482.0,844.0,526.0,859.0,427.0,858.0,376.0,857.328,367.7677,854.672,335.2323,891.0,440.0,895.0,416.0,881.0,374.0,834.0,377.0,824.0,413.0,823.0,443.0,14.0
68,050857069.jpg,933.0,1074.0,897.0,968.0,863.0,773.0,746.0,794.0,762.0,1015.0,0.0,0.0,805.0,784.0,774.0,609.0,772.0811,595.1415,757.9189,492.8585,781.0,670.0,827.0,644.0,837.0,603.0,711.0,614.0,670.0,682.0,707.0,629.0,14.0
69,090756647.jpg,1437.0,624.0,1381.0,547.0,1319.0,455.0,1395.0,428.0,1452.0,533.0,1499.0,620.0,1357.0,442.0,1331.0,311.0,1331.574,321.475,1326.426,227.525,1225.0,402.0,1232.0,374.0,1268.0,318.0,1393.0,304.0,1442.0,332.0,1496.0,358.0,960.0
70,024929223.jpg,230.0,930.0,354.0,784.0,500.0,630.0,642.0,681.0,474.0,802.0,373.0,936.0,571.0,656.0,663.0,410.0,668.3875,427.5093,625.6125,288.4907,314.0,443.0,429.0,415.0,563.0,370.0,762.0,450.0,824.0,603.0,805.0,689.0,960.0
71,041038292.jpg,829.0,825.0,859.0,686.0,891.0,514.0,988.0,515.0,1007.0,696.0,984.0,823.0,940.0,515.0,921.0,309.0,922.5057,322.0036,908.4943,200.9964,770.0,471.0,791.0,395.0,838.0,315.0,1003.0,302.0,1047.0,436.0,1019.0,549.0,960.0
72,075555114.jpg,736.0,646.0,752.0,484.0,681.0,370.0,783.0,368.0,856.0,485.0,853.0,650.0,732.0,369.0,752.0,205.0,745.007,214.9901,814.993,115.0099,601.0,306.0,600.0,265.0,673.0,195.0,831.0,215.0,889.0,294.0,966.0,353.0,960.0
73,022879817.jpg,923.0,630.0,901.0,532.0,836.0,449.0,882.0,415.0,862.0,515.0,797.0,605.0,859.0,432.0,745.0,274.0,711.9408,271.1096,595.0592,260.8904,524.0,298.0,626.0,288.0,712.0,215.0,778.0,332.0,649.0,418.0,513.0,407.0,978.0
74,007697991.jpg,0.0,0.0,455.0,648.0,664.0,619.0,854.0,630.0,931.0,715.0,0.0,0.0,759.0,625.0,798.0,314.0,791.7744,341.6355,845.2256,104.3645,473.0,381.0,545.0,299.0,704.0,307.0,892.0,321.0,1051.0,205.0,1038.0,9.0,978.0
75,016122129.jpg,253.0,336.0,234.0,286.0,245.0,236.0,265.0,235.0,250.0,291.0,269.0,348.0,255.0,236.0,230.0,177.0,224.9983,172.1265,196.0017,143.8735,209.0,222.0,218.0,212.0,221.0,177.0,238.0,177.0,244.0,215.0,216.0,221.0,978.0
76,092969765.jpg,408.0,398.0,442.0,337.0,446.0,187.0,362.0,181.0,394.0,321.0,341.0,384.0,404.0,184.0,441.0,118.0,470.8992,123.4362,521.1008,132.5638,539.0,96.0,503.0,64.0,490.0,95.0,392.0,140.0,351.0,142.0,342.0,199.0,978.0
77,063340376.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216.0,372.0,219.5859,351.381,228.4141,300.619,295.0,419.0,276.0,414.0,255.0,370.0,176.0,374.0,161.0,400.0,183.0,397.0,960.0
78,087146059.jpg,0.0,0.0,265.0,472.0,290.0,394.0,345.0,401.0,335.0,472.0,0.0,0.0,318.0,398.0,301.0,291.0,294.0641,271.9758,272.9359,214.0242,240.0,382.0,255.0,339.0,261.0,302.0,340.0,280.0,360.0,354.0,328.0,336.0,978.0
79,089255900.jpg,247.0,328.0,255.0,282.0,280.0,220.0,316.0,232.0,293.0,275.0,287.0,336.0,298.0,226.0,314.0,166.0,317.5527,158.6104,335.4473,121.3896,255.0,230.0,252.0,185.0,284.0,156.0,344.0,176.0,353.0,215.0,346.0,246.0,960.0
80,053934224.jpg,0.0,0.0,1113.0,899.0,1077.0,656.0,1222.0,671.0,1210.0,923.0,0.0,0.0,1150.0,664.0,1186.0,370.0,1185.0154,324.5122,1181.9846,184.4878,994.0,537.0,1023.0,460.0,1096.0,353.0,1276.0,387.0,1285.0,588.0,1132.0,678.0,15.0
81,080744016.jpg,0.0,0.0,0.0,0.0,820.0,835.0,1127.0,842.0,0.0,0.0,0.0,0.0,974.0,839.0,980.0,436.0,990.1692,341.1663,1012.8308,129.8337,736.0,869.0,733.0,708.0,795.0,423.0,1164.0,448.0,1170.0,711.0,1211.0,959.0,15.0
82,089609130.jpg,356.0,312.0,355.0,278.0,380.0,272.0,441.0,272.0,426.0,283.0,429.0,341.0,411.0,272.0,422.0,209.0,418.9951,197.8391,411.0049,168.1609,362.0,243.0,382.0,239.0,393.0,205.0,450.0,212.0,455.0,252.0,428.0,244.0,262.0
83,031800347.jpg,608.0,323.0,611.0,243.0,651.0,202.0,700.0,201.0,649.0,245.0,649.0,338.0,676.0,202.0,686.0,127.0,684.9782,113.5888,679.0218,35.4112,626.0,196.0,646.0,166.0,647.0,122.0,724.0,132.0,724.0,192.0,655.0,208.0,262.0
84,011005192.jpg,143.0,475.0,175.0,406.0,114.0,291.0,197.0,267.0,219.0,348.0,204.0,446.0,156.0,279.0,143.0,135.0,161.1306,112.0346,214.8694,43.9654,94.0,244.0,44.0,213.0,89.0,135.0,197.0,134.0,207.0,216.0,247.0,246.0,15.0
85,086073058.jpg,363.0,455.0,299.0,404.0,300.0,306.0,345.0,300.0,291.0,414.0,301.0,472.0,323.0,303.0,328.0,211.0,324.2447,198.5326,306.7553,140.4674,300.0,274.0,350.0,269.0,347.0,205.0,308.0,216.0,302.0,270.0,0.0,0.0,15.0
86,000695213.jpg,0.0,0.0,0.0,0.0,338.0,385.0,456.0,388.0,0.0,0.0,0.0,0.0,397.0,387.0,400.0,202.0,396.1337,141.4287,388.8663,27.5713,277.0,429.0,307.0,347.0,315.0,211.0,484.0,193.0,502.0,368.0,466.0,314.0,15.0
87,051074730.jpg,0.0,0.0,306.0,472.0,308.0,312.0,372.0,314.0,372.0,471.0,0.0,0.0,340.0,313.0,349.0,213.0,348.13,185.1597,345.87,112.8403,274.0,277.0,290.0,298.0,300.0,214.0,398.0,212.0,410.0,293.0,348.0,281.0,15.0
88,022210781.jpg,76.0,322.0,100.0,265.0,62.0,250.0,131.0,260.0,166.0,282.0,115.0,307.0,97.0,255.0,121.0,189.0,121.5925,177.8898,124.4075,125.1102,131.0,246.0,89.0,223.0,91.0,190.0,151.0,187.0,156.0,239.0,150.0,261.0,15.0
89,011986537.jpg,0.0,0.0,273.0,234.0,276.0,164.0,213.0,158.0,209.0,245.0,0.0,0.0,245.0,161.0,257.0,53.0,267.4526,37.3211,294.5474,-3.3211,355.0,137.0,315.0,113.0,302.0,54.0,211.0,51.0,194.0,98.0,190.0,157.0,15.0
90,033761517.jpg,1142.0,1074.0,1168.0,897.0,1193.0,657.0,1331.0,657.0,1343.0,885.0,1358.0,1072.0,1262.0,657.0,1266.0,311.0,1265.6403,267.1193,1264.3597,110.8807,1100.0,676.0,1110.0,513.0,1144.0,317.0,1387.0,305.0,1426.0,508.0,1443.0,666.0,849.0
91,094290970.jpg,313.0,951.0,501.0,848.0,614.0,742.0,737.0,754.0,799.0,824.0,773.0,941.0,676.0,748.0,696.0,626.0,689.2714,570.7294,674.7286,451.2706,669.0,723.0,580.0,776.0,592.0,629.0,799.0,622.0,828.0,742.0,734.0,715.0,849.0
92,032320293.jpg,1200.0,913.0,1196.0,734.0,1191.0,507.0,1301.0,508.0,1307.0,744.0,1294.0,874.0,1246.0,508.0,1264.0,262.0,1258.7121,240.1227,1218.2879,72.8773,1147.0,516.0,1124.0,391.0,1157.0,266.0,1371.0,257.0,1408.0,408.0,1330.0,518.0,849.0
